id	nombre_tema	nivel	freex	freey	textPosition	created_at	updated_at	dificultad
189	Solución de trángulos rectángulos	8	1634.19	1586.07	0	NULL	2021-12-06 15:05:02	1.11428571
190	Solución de problemas reales con trigonometría	9	1562.94	1822.76	0	NULL	2021-12-13 23:22:36	1.20000000
191	Intervalos	2	1923.50	555.78	0	NULL	2021-12-06 15:05:15	1.28571429
192	Desigualdades - inecuaciones	3	2059.58	748.86	0	NULL	2022-05-06 12:43:53	1.37142857
193	Formas de expresar funciones matemáticas	5	2003.89	1248.18	0	NULL	2021-11-16 02:42:24	1.54285714
194	Funciones Trigonométricas	8	3061.44	1843.27	0	NULL	2022-06-21 18:30:40	1.71428571
195	Modelado de funciones	9	2250.91	2439.78	0	NULL	2021-12-06 15:05:19	1.80000000
196	Límites y continuidad	2	2124.60	549.60	0	NULL	2021-11-25 14:26:24	1.88571429
197	Derivada	3	2363.21	676.67	0	NULL	2021-11-25 14:26:22	1.97142857
198	Razón de cambio	4	2269.80	920.93	0	NULL	2021-11-25 14:26:20	2.05714286
199	Reglas de derivación	5	2243.54	1179.75	0	NULL	2021-11-25 14:26:12	2.14285714
200	Razones de cambio relacionadas	6	2350.54	1417.62	0	NULL	2021-11-25 14:26:10	2.22857143
201	Optimizacion	7	2667.10	1528.79	0	NULL	2022-06-21 18:36:40	2.31428571
202	Antiderivadas	2	2341.41	396.42	0	NULL	2021-11-11 17:21:58	2.40000000
203	Definición de la integral	3	2595.67	583.02	0	NULL	2021-11-11 17:21:59	2.48571429
204	Reglas de integración inmediatas	4	2637.25	805.84	0	NULL	2021-12-09 17:36:42	2.57142857
205	Métodos de integración	5	2515.82	1073.40	0	NULL	2021-12-09 17:36:40	2.65714286
206	Integral definida	6	2701.33	1291.83	0	NULL	2022-06-21 18:33:38	2.74285714
207	Áreas bajo la curva	7	2999.94	1374.10	0	NULL	2022-06-21 18:25:14	2.82857143
208	Sólido de revolución	8	3214.31	1618.18	0	NULL	2022-06-21 18:25:22	2.91428571
209	Volúmen de un sólido en revolución	9	3395.73	1854.38	0	NULL	2022-06-21 18:25:20	3.00000000
