ID,Clasificación,Ponderación,Sumatoria Ponderaciones,Contador,Grado de Conocimiento,Matriz Ponderación,Matriz Inferencia,Matriz Inferencia Final,Dificultad,Discriminación,Adivinación,Asintota,Orden Evaluación
36,4,8.4,0,26,0,"100,0,0","22.11805191368885,22.099911493539427,55.782036592771725","61.05902595684442,11.049955746769713,27.891018296385862",-2.14285714,1,0.2211805191368885,1,-1
41,1,0,0,1,-1,"0,0,0","23.959783058097422,35.385839593959936,40.65437734794263","0,0,0",1.45714286,1,0.23959783058097422,1,-1
55,1,0,0,1,-1,"0,0,0","28.971832074791827,36.08932516505932,34.938842760148866","0,0,0",0.68571429,1,0.28971832074791826,1,-1
62,1,0,0,1,-1,"0,0,0","26.13930175271575,24.025822576305725,49.834875670978526","0,0,0",-0.85714286,1,0.2613930175271575,1,-1
71,1,0,0,1,-1,"0,0,0","38.23430087352812,28.03440031479674,33.731298811675146","0,0,0",0,1,0.3823430087352812,1,-1
79,1,0,0,1,-1,"0,0,0","23.74131325969299,37.90242743386872,38.356259306438275","0,0,0",-1.71428571,1,0.2374131325969299,1,-1
81,1,0,0,1,-1,"0,0,0","12.952356735929746,18.531169244217725,68.51647401985254","0,0,0",-1.28571429,1,0.12952356735929746,1,-1
83,1,0,0,1,-1,"0,0,0","23.84799708407799,34.2529304392785,41.899072476643504","0,0,0",-1.71428571,1,0.23847997084077988,1,-1
182,1,0,0,1,-1,"0,0,0","24.901329196044948,25.234964317813635,49.86370648614141","0,0,0",-0.85714286,1,0.24901329196044947,1,-1
198,1,0,0,1,-1,"0,0,0","44.09724337449853,30.843919813252384,25.05883681224908","0,0,0",2.05714286,1,0.44097243374498535,1,-1
204,1,0,0,1,-1,"0,0,0","26.05124082699861,32.32737120335866,41.621387969642726","0,0,0",2.57142857,1,0.2605124082699861,1,-1
6,3,25,33,1,0,"100,0,0","0.4378336907165409,3.7873532750833694,95.7748130342001","50.21891684535827,1.8936766375416847,47.88740651710005",-2.82857143,1,0.004378336907165409,1,1
7,3,33,33,2,0,"100,0,0","17.16876693243619,23.976696497599008,58.8545365699648","58.33335200831749,12.352690644669098,29.313957347013407",-2.82857143,1,0.17168766932436189,1,6
10,1,0,0,1,-1,"0,0,0","40.149719308779,21.95467324277278,37.89560744844822","0,0,0",-0.08571429,1,0.40149719308778997,1,-1
35,3,20,33,1,0,"100,0,0","18.03804444434423,21.685855909111176,60.2760996465446","59.01902222217211,10.842927954555588,30.1380498232723",-2.82857143,1,0.1803804444434423,1,8
37,3,25,67,1,1,"100,0,0","4.502897009012476,14.53248336252327,80.96461962846426","52.251448504506236,7.266241681261635,40.48230981423213",-2.82857143,1,0.04502897009012476,1,2
54,1,0,0,1,-1,"0,0,0","31.086060422896367,33.94807773630203,34.96586184080161","0,0,0",0.6,1,0.31086060422896367,1,-1
61,1,0,0,1,-1,"0,0,0","18.9960771031534,24.96059039265061,56.043332504195995","0,0,0",-0.94285714,1,0.189960771031534,1,-1
78,1,0,0,1,-1,"0,0,0","25.053778984372382,33.651680808822995,41.29454020680461","0,0,0",-1.8,1,0.2505377898437238,1,-1
82,1,0,0,1,-1,"0,0,0","20.692966966343967,38.15476700825668,41.152266025399356","0,0,0",-1.8,1,0.20692966966343967,1,-1
181,1,0,0,1,-1,"0,0,0","8.980677841344868,26.186755202589108,64.83256695606603","0,0,0",-0.94285714,1,0.08980677841344868,1,-1
192,1,0,0,1,-1,"0,0,0","34.21562922940319,33.99043597242885,31.793934798167946","0,0,0",1.37142857,1,0.34215629229403194,1,-1
197,1,0,0,1,-1,"0,0,0","30.400141048070306,37.773714464489416,31.82614448744027","0,0,0",1.97142857,1,0.30400141048070306,1,-1
203,1,0,0,1,-1,"0,0,0","20.085016691208594,36.085282132838955,43.82970117595244","0,0,0",2.48571429,1,0.20085016691208593,1,-1
12,3,25,33,1,0,"100,0,0","12.937038972724215,21.901021990753954,65.16193903652183","100.0,0.0,0.0",-2.91428571,1,0.12937038972724216,1,3
19,1,0,0,1,-1,"0,0,0","21.107907646756903,35.084408004625416,43.807684348617684","0,0,0",0.51428571,1,0.21107907646756904,1,-1
23,1,0,0,1,-1,"0,0,0","20.930057954908037,31.233397790306988,47.83654425478498","0,0,0",-1.02857143,1,0.20930057954908038,1,-1
24,1,0,0,1,-1,"0,0,0","24.948744297832707,29.84641111886629,45.204844583300996","0,0,0",-1.88571429,1,0.24948744297832706,1,-1
26,3,11,67,6,1,"100,0,0","100.0,0.0,0.0","100.0,0.0,0.0",-2.91428571,1,1.0,1,9
53,1,0,0,1,-1,"0,0,0","33.89050319531602,33.93961568118076,32.169881123503224","0,0,0",0.51428571,1,0.33890503195316024,1,-1
94,1,0,33,1,0,"0,0,0","29.790277157722766,44.21208404365933,25.99763879861789","0,0,0",-2.91428571,1,0.29790277157722767,1,-1
186,1,0,0,1,-1,"0,0,0","42.225972982125704,34.01073413286919,23.7632928850051","0,0,0",-0.17142857,1,0.42225972982125703,1,-1
191,1,0,0,1,-1,"0,0,0","23.082494925949394,38.78816119863851,38.12934387541208","0,0,0",1.28571429,1,0.23082494925949393,1,-1
196,1,0,0,1,-1,"0,0,0","34.96419936913354,34.037841435075144,30.99795919579132","0,0,0",1.88571429,1,0.34964199369133536,1,-1
202,1,0,0,1,-1,"0,0,0","34.99300815204025,29.737983464530892,35.269008383428854","0,0,0",2.4,1,0.34993008152040245,1,-1
2,4,29.16015625,233.28125,9,0,"100,0,0","28.11995863571728,31.39912467084554,40.48091669343718","64.05997931785863,15.69956233542277,20.24045834671859",-1.97142857,1,0.2811995863571728,1,-1
13,1,0,0,1,-1,"0,0,0","32.205491480168305,34.901494760817,32.893013759014686","0,0,0",-2.31428571,1,0.3220549148016831,1,-1
14,1,0,0,1,-1,"0,0,0","29.902604310942394,33.1032118257619,36.994183863295696","0,0,0",-2.14285714,1,0.29902604310942393,1,-1
17,1,0,0,1,-1,"0,0,0","30.085222427513642,35.78040223571443,34.134375336771924","0,0,0",-2.22857143,1,0.3008522242751364,1,-1
20,1,0,0,1,-1,"0,0,0","29.99377158628912,34.012431815311395,35.993796598399484","0,0,0",-2.14285714,1,0.2999377158628912,1,-1
40,1,0,0,1,-1,"0,0,0","30.066590820986107,35.91933586220694,34.01407331680695","0,0,0",-2.4,1,0.30066590820986105,1,-1
51,1,0,0,1,-1,"0,0,0","33.00985044039673,36.85922089480447,30.1309286647988","0,0,0",-2.48571429,1,0.3300985044039673,1,-1
52,1,0,0,1,-1,"0,0,0","30.02757393809118,37.89904485029093,32.07338121161789","0,0,0",-2.31428571,1,0.3002757393809118,1,-1
1,4,42.903645833333336,257.421875,7,0,"100,0,0","29.87575162396337,34.8203418046593,35.30390657137733","64.93787581198168,17.41017090232965,17.651953285688666",-3,1,0.2987575162396337,1,-1
