ID,Clasificación,Ponderación,Sumatoria Ponderaciones,Contador,Grado de Conocimiento,Matriz Ponderación,Matriz Inferencia,Matriz Inferencia Final,Dificultad,Discriminación,Adivinación,Asintota,Orden Evaluación
165,1,0,83,1,2,"0,0,0","35.33516788812306,30.823201582718056,33.841630529158884","0,0,0",-1.28571429,1,0.3533516788812306,1,-1
166,1,0,100,1,2,"0,0,0","42.23885281041187,19.927711979218603,37.83343521036953","0,0,0",-1.37142857,1,0.4223885281041187,1,-1
167,1,0,100,1,2,"0,0,0","39.887308575048834,25.307777658055503,34.804913766895666","0,0,0",-1.28571429,1,0.39887308575048835,1,-1
174,1,0,0,1,-1,"0,0,0","17.939356905854563,30.845580825002195,51.21506226914324","0,0,0",-0.51428571,1,0.17939356905854564,1,-1
188,1,0,0,1,-1,"0,0,0","31.692321106536436,34.120824947695105,34.186853945768455","0,0,0",1.02857143,1,0.31692321106536436,1,-1
189,1,0,0,1,-1,"0,0,0","23.401754923628772,31.637704493918495,44.96054058245273","0,0,0",1.11428571,1,0.23401754923628773,1,-1
194,1,0,0,1,-1,"0,0,0","28.93411833961214,39.31881333307615,31.747068327311716","0,0,0",1.71428571,1,0.2893411833961214,1,-1
208,1,0,0,1,-1,"0,0,0","31.052173889169985,44.22597959171887,24.721846519111146","0,0,0",2.91428571,1,0.31052173889169987,1,-1
28,4,89.84375,628.90625,8,2,"0,0,100","29.018574655901936,20.896790410403867,50.084634933694204","14.509287327951368,10.448395205201814,75.04231746684681",-2.48571429,1,0.29018574655901935,1,-1
29,4,89.84375,628.90625,8,2,"0,0,100","31.04653300382526,20.831474593662122,48.12199240251262","15.523266501911731,10.415737296831727,74.06099620125654",-2.48571429,1,0.3104653300382526,1,-1
59,1,0,0,1,-1,"0,0,0","38.79657266025909,42.04813614070056,19.155291199040356","0,0,0",0.94285714,1,0.3879657266025909,1,-1
60,1,0,0,1,-1,"0,0,0","31.20202010010283,33.8850115665118,34.91296833338538","0,0,0",0.94285714,1,0.3120202010010283,1,-1
74,1,0,0,1,-1,"0,0,0","36.42231248554948,31.55683779244039,32.02084972201013","0,0,0",0.25714286,1,0.36422312485549485,1,-1
75,1,0,0,1,-1,"0,0,0","41.0760994923103,28.8488904939003,30.075010013789417","0,0,0",0.25714286,1,0.410760994923103,1,-1
76,1,0,0,1,-1,"0,0,0","42.9998554042893,34.80329602677713,22.196848568933554","0,0,0",0.25714286,1,0.429998554042893,1,-1
91,1,0,100,1,2,"0,0,0","31.29601595819644,29.77358096004664,38.93040308175692","0,0,0",-1.45714286,1,0.3129601595819644,1,-1
100,4,54.464285714285715,100,22,2,"100,0,0","33.15750551096363,28.93546359862916,37.907030890407206","66.57875275548182,14.467731799314581,18.953515445203603",-2.14285714,1,0.3315750551096363,1,-1
163,1,0,100,1,2,"0,0,0","31.279109359780975,29.26723060669248,39.453660033526546","0,0,0",-1.45714286,1,0.31279109359780977,1,-1
173,1,0,0,1,-1,"0,0,0","34.976009534004746,30.186779549058457,34.8372109169368","0,0,0",-0.6,1,0.3497600953400475,1,-1
185,1,0,0,1,-1,"0,0,0","37.013344148674285,35.02514280522919,27.961513046096513","0,0,0",-0.6,1,0.3701334414867429,1,-1
201,1,0,0,1,-1,"0,0,0","43.10995512411747,35.03869990584461,21.85134497003792","0,0,0",2.31428571,1,0.4310995512411747,1,-1
207,1,0,0,1,-1,"0,0,0","27.778592705306288,44.15993254142939,28.061474753264328","0,0,0",2.82857143,1,0.2777859270530629,1,-1
27,4,100.0,400,5,2,"0,0,100","26.996251777788395,29.297726537365033,43.70602168484658","13.498125888894199,14.648863268682517,71.85301084242329",-2.57142857,1,0.26996251777788394,1,-1
33,4,89.84375,628.90625,8,2,"0,0,100","19.92458997821773,26.00632624534857,54.0690837764337","9.96229498910949,13.003163122674039,77.03454188821647",-2.57142857,1,0.19924589978217727,1,-1
34,4,29.6875,100,3,2,"100,0,0","15.968275689276565,24.22054509682325,59.81117921390019","57.9841378446318,12.11027254842039,29.905589606947803",-2.57142857,1,0.15968275689276565,1,-1
39,4,74.34895833333333,100,19,2,"0,100,0","13.24301940584061,29.416763887017073,57.340216707142325","6.621509702175842,64.70838194305944,28.670108354764718",-2.57142857,1,0.1324301940584061,1,-1
42,1,0,0,1,-1,"0,0,0","27.983977481264414,32.0886133979591,39.92740912077647","0,0,0",1.62857143,1,0.27983977481264416,1,-1
